# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
removes-shadow	removes shadow
removes-shroud	removes shroud
removes-toxic	removes toxic
removes-trample	removes trample
removes-ward	removes ward
renew	renew
renown	renown
repeatable-artifact-tokens	repeatable artifact tokens
repeatable-blood	repeatable blood
repeatable-card-advantage	repeatable card advantage
repeatable-clues	repeatable clues
repeatable-creature-tokens	repeatable creature tokens
repeatable-crime	repeatable crime
repeatable-draw	repeatable draw
repeatable-enchantment-tokens	repeatable enchantment tokens
repeatable-food	repeatable food
repeatable-gold	repeatable gold
repeatable-impulse	repeatable impulse
repeatable-impulsive-draw	repeatable impulsive draw
repeatable-junk	repeatable junk
repeatable-landers	repeatable landers
repeatable-lifegain	repeatable lifegain
repeatable-loot	repeatable loot
repeatable-maps	repeatable maps
repeatable-mulch	repeatable mulch
repeatable-mutagens	repeatable mutagens
repeatable-noncreature-tokens	repeatable noncreature tokens
repeatable-plunder	repeatable plunder
repeatable-powerstones	repeatable powerstones
repeatable-pp-counters	repeatable pp counters
repeatable-proliferate	repeatable-proliferate
repeatable-pure-draw	repeatable pure draw
repeatable-removal	repeatable removal
repeatable-rescue	repeatable rescue
repeatable-roles	repeatable roles
repeatable-rummage	repeatable rummage
repeatable-sacrifice-outlet	repeatable sacrifice outlet
repeatable-seek	repeatable seek
repeatable-token-generator	repeatable token generator
repeatable-treasures	repeatable treasures
repeatable-vibranium	repeatable vibranium
repeated-effect	repeated effect
repeated-keyword	repeated keyword
rescue	rescue
rescue-artifact	rescue-artifact
rescue-aura	rescue-aura
rescue-creature	rescue-creature
rescue-enchantment	rescue-enchantment
rescue-land	rescue-land
rescue-nonartifact	rescue-nonartifact
rescue-nonland	rescue-nonland
rescue-permanent	rescue-permanent
restart-game	restart game
restart-turn	restart turn
restock	restock
restock-all	restock-all
restock-any	restock-any
restock-artifact	restock-artifact
restock-battle	restock-battle
restock-creature	restock-creature
restock-enchantment	restock-enchantment
restock-instant	restock-instant
restock-land	restock-land
restock-noncreature	restock-noncreature
restock-nonland	restock-nonland
restock-permanent	restock-permanent
restock-self	restock-self
restock-sorcery	restock-sorcery
restock-to-bottom	restock-to-bottom
restock-to-top	restock-to-top
restores-old-rule	restores old rule
restricted-attacker	restricted attacker
restricted-blocker	restricted blocker
restricted-mana	restricted mana
retaliate-to-damage	retaliate to damage
reveal-hand	reveal hand
revolt	revolt
rhyming-name	rhyming name
rhystic	rhystic
ritual	ritual
ritual-untap	ritual-untap
roll-d10	roll d10
roll-d12	roll d12
roll-d20	roll d20
roll-d4	roll d4
roll-d6	roll d6
roll-d8	roll d8
roll-planar-die	roll planar die
roll-to-visit	roll to visit
roman-numeral	roman numeral
royal-assassin-ability	royal assassin ability
rule-of-law	rule of law
rulebreaker	rulebreaker
rules-nightmare	rules nightmare
rules-text-matters	rules text matters
rummage	rummage
rummage-to-library	rummage to library
rupture-spire	rupture spire
saboteur	saboteur
sacrifice-cost-land	sacrifice cost land
sacrifice-matters	sacrifice matters
sacrifice-outlet	sacrifice outlet
sacrifice-outlet-artifact	sacrifice outlet-artifact
sacrifice-outlet-creature	sacrifice outlet-creature
sacrifice-outlet-enchantment	sacrifice outlet-enchantment
sacrifice-outlet-land	sacrifice outlet-land
sacrifice-outlet-nonland	sacrifice outlet-nonland
sacrifice-outlet-planeswalker	sacrifice outlet-planeswalker
sacrifice-outlet-token	sacrifice outlet-token
sacrifice-outlet-universal	sacrifice outlet-universal
sacrifice-self	sacrifice self
save-from-death	save from death
scales-with-damage-dealt	scales with damage dealt
scales-with-mana-value	scales with mana value
scales-with-multiple	scales with multiple
scales-with-power	scales with power
scene	scene
school-name	school name
scooch-dice	scooch dice
scry	scry
scry-like	scry like
second-draw-matters	second draw matters
second-spell-matters	second spell matters
secretly-choose	secretly choose
seek	seek
seek-artifact	seek-artifact
seek-artifact-spacecraft	seek-artifact-spacecraft
seek-card	seek-card
seek-cast	seek-cast
seek-creature	seek-creature
seek-creature-dragon	seek-creature-dragon
seek-creature-elf	seek-creature-elf
seek-creature-kithkin	seek-creature-kithkin
seek-creature-merfolk	seek-creature-merfolk
seek-creature-pirate	seek-creature-pirate
seek-creature-rat	seek-creature-rat
seek-creature-survivor	seek-creature-survivor
seek-creature-vampire	seek-creature-vampire
seek-enchantment	seek-enchantment
seek-enchantment-saga	seek-enchantment-saga
seek-instant	seek-instant
seek-land	seek-land
seek-land-any	seek-land-any
seek-land-basic	seek-land-basic
seek-land-forest	seek-land-forest
seek-land-island	seek-land-island
seek-land-mountain	seek-land-mountain
seek-land-nonbasic	seek-land-nonbasic
seek-land-plains	seek-land-plains
seek-land-swamp	seek-land-swamp
seek-land-urza-s	seek-land-urza's
seek-legendary	seek-legendary
seek-mv	seek-mv
seek-noncreature	seek-noncreature
seek-nonland	seek-nonland
seek-permanent	seek-permanent
seek-planeswalker	seek-planeswalker
seek-self	seek-self
seek-sorcery	seek-sorcery
seek-to-battlefield	seek-to-battlefield
seek-to-exile	seek-to-exile
seek-to-graveyard	seek-to-graveyard
seek-to-hand	seek-to-hand
seek-to-zone	seek-to-zone
selective-group-hug	selective group hug
self-discard-matters	self-discard matters
self-life-loss-matters	self life loss matters
self-replacement-effect	self-replacement effect
set-life-total	set life total
set-matters	set matters
shade-pump	shade pump
shadow-counter	shadow counter
shakedown	shakedown
shapechange	shapechange
shapesharing	shapesharing
shardland	shardland
share-counters	share counters
shares-name-with-a-format	shares name with a format
shares-name-with-a-mechanic	shares name with a mechanic
shares-name-with-a-set	shares name with a set
shockland	shockland
show-and-tell	show and tell
shrink	shrink
shroud-from-black	shroud from black
shroud-from-blue	shroud from blue
shroud-from-nongreen	shroud from nongreen
shroud-from-red	shroud from red
shroud-from-white	shroud from white
sideboard-matters	sideboard matters
siege-modal	siege (modal)
sift	sift
silence	silence
single-english-word-name	single english word name
single-target-instant-sorcery	single target instant/sorcery
singleton-matters	singleton matters
skip-draw-step	skip draw step
skip-turn	skip turn
skip-untap-step	skip untap step
skulk	skulk
sleeping-enchantment	sleeping enchantment
sleeves-matter	sleeves matter
slith-ability	slith ability
sliver-stackable	sliver-stackable
sneak	sneak
sneak-artifact	sneak-artifact
sneak-artifact-creature	sneak-artifact-creature
sneak-aura	sneak-aura
sneak-creature	sneak-creature
sneak-enchantment	sneak-enchantment
sneak-equipment	sneak-equipment
sneak-from-command-zone	sneak from command zone
sneak-from-library	sneak from library
sneak-land	sneak-land
sneak-permanent	sneak-permanent
sneak-planeswalker	sneak-planeswalker
sneak-self	sneak-self
sneaky-self-trigger	sneaky-self-trigger
snowfall	snowfall
sol-land	sol land
soothsaying	soothsaying
soul-warden-ability	soul warden ability
special-action	special action
specialized	specialized
specific-power-matters	specific power matters
specific-toughness-matters	specific toughness matters
specter-ability	specter ability
speech-matters	speech matters
speed-matters	speed matters
spell-with-no-casting-cost	spell with no casting cost
spite-damage	spite damage
splits-on-death	splits on death
sports-name	sports name
spot-removal	spot removal
squad-token	squad token
square-stats-matter	square stats matter
stalking	stalking
staple-with-set-s-mechanic	staple with set's mechanic
start-of-game	start of game
starting-player-matters	starting player matters
stasis	stasis
state-trigger	state trigger
static-from-graveyard	static-from-graveyard
sth-storyline-in-cards	sth-storyline-in-cards
stock-turn	stock turn
storage-land	storage land
storm-count-matters	storm count matters
storm-like	storm-like
strive	strive
stronger-in-singleton-formats	stronger in singleton formats
stun-counters-matter	stun counters matter
substance	substance
substitute-card	substitute card
sunburst	sunburst
sunder	sunder
super-menace	super-menace
super-pridemate	super-pridemate
supercycle-legendary-land	supercycle-legendary-land
support	support
surge	surge
surveil	surveil
swampfall	swampfall
swap-removal	swap removal
sweeper	sweeper
sweeper-graveyard	sweeper-graveyard
sweeper-one-sided	sweeper-one-sided
sword-of-x-and-y	sword of x and y
symmetrical	symmetrical
synergy-1-1	synergy-1/1
synergy-ability-sticker	synergy-ability-sticker
synergy-activated-ability	synergy-activated-ability
synergy-adventure	synergy-adventure
synergy-affinity	synergy-affinity
synergy-airbending	synergy-airbending
synergy-arcane	synergy-arcane
synergy-art-sticker	synergy-art-sticker
synergy-artifact	synergy-artifact
synergy-artifact-creature	synergy-artifact-creature
synergy-attraction	synergy-attraction
synergy-augment	synergy-augment
synergy-aura	synergy-aura
synergy-awaken	synergy-awaken
synergy-backup	synergy-backup
synergy-banana	synergy-banana
synergy-banding	synergy-banding
synergy-bargain	synergy-bargain
synergy-basic	synergy-basic
synergy-battle	synergy-battle
synergy-black	synergy-black
synergy-blitz	synergy-blitz
synergy-blocker	synergy-blocker
synergy-blocker-self	synergy-blocker-self
synergy-blood	synergy-blood
synergy-blue	synergy-blue
synergy-boast	synergy-boast
synergy-bobblehead	synergy-bobblehead
synergy-boon	synergy-boon
synergy-bounce	synergy-bounce
synergy-burn	synergy-burn
synergy-bushido	synergy-bushido
synergy-cascade	synergy-cascade
synergy-case	synergy-case
synergy-cave	synergy-cave
synergy-changeling	synergy-changeling
synergy-chorus	synergy-chorus
synergy-clash	synergy-clash
synergy-class	synergy-class
synergy-clue	synergy-clue
synergy-collect-evidence	synergy-collect evidence
synergy-color-choose	synergy-color-choose
synergy-color-each	synergy-color-each
synergy-color-every	synergy-color-every
synergy-color-non-share	synergy-color-non-share
synergy-color-share	synergy-color-share
synergy-colored	synergy-colored
synergy-colorless	synergy-colorless
synergy-colorless-mana	synergy-colorless-mana
synergy-commander	synergy-commander
synergy-conjure	synergy-conjure
synergy-connive	synergy-connive
synergy-contraption	synergy-contraption
synergy-convoke	synergy-convoke
synergy-copy	synergy-copy
synergy-counterspell	synergy-counterspell
synergy-craft	synergy-craft
synergy-creatureland	synergy-creatureland
synergy-cumulative-upkeep	synergy-cumulative upkeep
synergy-curse	synergy-curse
synergy-cycling	synergy-cycling
synergy-damage-prevention	synergy-damage-prevention
synergy-dash	synergy-dash
synergy-deathtouch	synergy-deathtouch
synergy-defender	synergy-defender
synergy-desert	synergy-desert
synergy-devoid	synergy-devoid
synergy-devour	synergy-devour
synergy-dfc	synergy-dfc
synergy-dice	synergy-dice
synergy-discover	synergy-discover
synergy-disguise	synergy-disguise
synergy-disturb	synergy-disturb
synergy-doctor-s-companion	synergy-doctor's companion
synergy-double-strike	synergy-double-strike
synergy-dungeon	synergy-dungeon
synergy-earthbending	synergy-earthbending
synergy-echo	synergy-echo
synergy-embalm	synergy-embalm
synergy-emblem	synergy-emblem
synergy-enchantment	synergy-enchantment
synergy-enchantment-creature	synergy-enchantment-creature
synergy-energy	synergy-energy
synergy-enlist	synergy-enlist
synergy-equipment	synergy-equipment
synergy-equipment-legendary	synergy-equipment-legendary
synergy-eternalize	synergy-eternalize
synergy-exert	synergy-exert
synergy-exhaust	synergy-exhaust
synergy-exile-cast	synergy-exile-cast
synergy-exiling	synergy-exiling
synergy-exploit	synergy-exploit
synergy-explore	synergy-explore
synergy-face-down	synergy-face-down
synergy-face-down-cast	synergy-face-down-cast
synergy-fear	synergy-fear
synergy-fight	synergy-fight
synergy-firebending	synergy-firebending
synergy-first-strike	synergy-first-strike
synergy-flanking	synergy-flanking
synergy-flash	synergy-flash
synergy-flashback	synergy-flashback
synergy-flying	synergy-flying
synergy-food	synergy-food
synergy-forage	synergy-forage
synergy-forest	synergy-forest
synergy-foretell	synergy-foretell
synergy-freerunning	synergy-freerunning
synergy-full-hand	synergy full hand
synergy-gate	synergy-gate
synergy-gift	synergy-gift
synergy-goad	synergy-goad
synergy-graveyard-cast	synergy-graveyard-cast
synergy-green	synergy-green
synergy-haste	synergy-haste
synergy-haunt	synergy-haunt
synergy-hexproof	synergy-hexproof
synergy-historic	synergy-historic
synergy-horsemanship	synergy-horsemanship
synergy-hybrid	synergy-hybrid
synergy-incubator	synergy-incubator
synergy-indestructible	synergy-indestructible
synergy-infect	synergy-infect
synergy-ingest	synergy-ingest
synergy-initiative	synergy-initiative
synergy-instant	synergy-instant
synergy-intimidate	synergy-intimidate
synergy-investigate	synergy-investigate
synergy-island	synergy-island
synergy-islandwalk	synergy-islandwalk
synergy-jump-start	synergy-jump-start
synergy-junk	synergy-junk
synergy-kicker	synergy-kicker
synergy-land-graveyard	synergy-land-graveyard
synergy-lander	synergy-lander
synergy-landwalk	synergy-landwalk
synergy-leaves-creature	synergy-leaves-creature
synergy-legendary	synergy-legendary
synergy-lesson	synergy-lesson
synergy-level-up	synergy-level-up
synergy-library-cast	synergy-library-cast
synergy-life-payment	synergy-life-payment
synergy-lifelink	synergy-lifelink
synergy-locus	synergy-locus
synergy-low-power	synergy-low-power
synergy-madness	synergy-madness
synergy-manifest	synergy-manifest
synergy-manifest-dread	synergy-manifest-dread
synergy-map	synergy-map
synergy-menace	synergy-menace
synergy-mentor	synergy-mentor
synergy-mill	synergy-mill
synergy-modal	synergy-modal
synergy-modified	synergy-modified
synergy-modular	synergy-modular
synergy-monocolor	synergy-monocolor
synergy-morph	synergy-morph
synergy-mountain	synergy-mountain
synergy-multicolor	synergy-multicolor
synergy-multicolor-pair	synergy-multicolor-pair
synergy-multicolor-trio	synergy-multicolor-trio
synergy-mutate	synergy-mutate
synergy-name-sticker	synergy-name-sticker
synergy-ninjutsu	synergy-ninjutsu
synergy-no-flying	synergy-no-flying
synergy-nonbasic-land	synergy-nonbasic-land
synergy-noncreature	synergy-noncreature
synergy-omen	synergy-omen
synergy-p-t-sticker	synergy-p/t-sticker
synergy-partner	synergy-partner
synergy-party	synergy-party
synergy-pin	synergy-pin
synergy-plains	synergy-plains
synergy-plan	synergy-plan
synergy-planeswalker	synergy-planeswalker
synergy-planet	synergy-planet
synergy-playtest	synergy-playtest
synergy-plot	synergy-plot
synergy-poison	synergy-poison
synergy-power-up	synergy-power-up
synergy-powerstone	synergy-powerstone
synergy-proliferate	synergy-proliferate
synergy-protection	synergy-protection
synergy-pw-ajani	synergy-pw-ajani
synergy-pw-angrath	synergy-pw-angrath
synergy-pw-ashiok	synergy-pw-ashiok
synergy-pw-basri	synergy-pw-basri
synergy-pw-bolas	synergy-pw-bolas
synergy-pw-chandra	synergy-pw-chandra
synergy-pw-choose	synergy-pw-choose
synergy-pw-davriel	synergy-pw-davriel
synergy-pw-domri	synergy-pw-domri
synergy-pw-dovin	synergy-pw-dovin
synergy-pw-elspeth	synergy-pw-elspeth
synergy-pw-garruk	synergy-pw-garruk
synergy-pw-gideon	synergy-pw-gideon
synergy-pw-huatli	synergy-pw-huatli
synergy-pw-jace	synergy-pw-jace
synergy-pw-liliana	synergy-pw-liliana
synergy-pw-lukka	synergy-pw-lukka
synergy-pw-nissa	synergy-pw-nissa
synergy-pw-oko	synergy-pw-oko
synergy-pw-ral	synergy-pw-ral
synergy-pw-rowan	synergy-pw-rowan
synergy-pw-sarkhan	synergy-pw-sarkhan
synergy-pw-tamiyo	synergy-pw-tamiyo
synergy-pw-teferi	synergy-pw-teferi
synergy-pw-tezzeret	synergy-pw-tezzeret
synergy-pw-tyvar	synergy-pw-tyvar
synergy-pw-ugin	synergy-pw-ugin
synergy-pw-vivien	synergy-pw-vivien
synergy-pw-vraska	synergy-pw-vraska
synergy-pw-yanggu	synergy-pw-yanggu
synergy-pw-yanling	synergy-pw-yanling
synergy-reach	synergy-reach
synergy-red	synergy-red
synergy-regenerate	synergy-regenerate
synergy-renown	synergy-renown
synergy-ring	synergy-ring
synergy-role	synergy-role
synergy-room	synergy-room
synergy-rune	synergy-rune
synergy-sacrifice-self	synergy-sacrifice-self
synergy-saddle	synergy-saddle
synergy-saga	synergy-saga
synergy-scry	synergy-scry
synergy-seek	synergy-seek
synergy-self-burn	synergy-self-burn
synergy-shadow	synergy-shadow
synergy-shrine	synergy-shrine
synergy-shroud	synergy-shroud
synergy-skulk	synergy-skulk
synergy-sneak	synergy-sneak
synergy-snow	synergy-snow
synergy-solo-attack	synergy-solo-attack
synergy-sorcery	synergy-sorcery
synergy-soulbond	synergy-soulbond
synergy-spacecraft	synergy-spacecraft
synergy-spectacle	synergy-spectacle
synergy-sphere	synergy-sphere
synergy-start-your-engines	synergy-start-your-engines
synergy-sticker	synergy-sticker
synergy-surveil	synergy-surveil
synergy-suspect	synergy-suspect
synergy-suspend	synergy-suspend
synergy-swamp	synergy-swamp
synergy-tantrum	synergy-tantrum
synergy-tapped	synergy-tapped
synergy-target	synergy-target
synergy-teamwork	synergy-teamwork
synergy-theft	synergy-theft
synergy-token	synergy-token
synergy-token-creature	synergy-token-creature
synergy-town	synergy-town
synergy-toxic	synergy-toxic
synergy-trample	synergy-trample
synergy-transform	synergy-transform
synergy-treasure	synergy-treasure
synergy-tuck	synergy-tuck
synergy-tutor	synergy-tutor
synergy-type-change	synergy-type-change
synergy-unearth	synergy-unearth
synergy-untapped	synergy-untapped
synergy-urza-s	synergy-urza's
synergy-vanilla	synergy-vanilla
synergy-vehicle	synergy-vehicle
synergy-vigilance	synergy-vigilance
synergy-villainous-choice	synergy-villainous-choice
synergy-vote	synergy-vote
synergy-warp	synergy-warp
synergy-wastes	synergy-wastes
synergy-waterbending	synergy-waterbending
synergy-white	synergy-white
synergy-wither	synergy-wither
table-order-matters	table order matters
take-the-initiative	take the initiative
tap-fuel-artifact	tap fuel-artifact
tap-fuel-creature	tap fuel-creature
tap-fuel-land	tap fuel-land
tap-fuel-permanent	tap fuel-permanent
tap-fuel-power	tap fuel-power
tap-fuel-token	tap fuel-token
tap-outlet	tap outlet
tapland	tapland
tapland-with-set-s-mechanic	tapland with set's mechanic
tappable-enchantment	tappable enchantment
tapped-matters-self	tapped matters-self
tapper	tapper
tapper-artifact	tapper-artifact
tapper-creature	tapper-creature
tapper-land	tapper-land
tapper-nonland	tapper-nonland
tapper-permanent	tapper-permanent
tapper-planeswalker	tapper-planeswalker
tapper-spacecraft	tapper-spacecraft
tax	tax
tax-attack	tax attack
tax-block	tax block
team-matters	team matters
tearing	tearing
temporary-counter	temporary counter
temporary-reanimation	temporary reanimation
temporary-token	temporary token
text-change	text change
text-change-color	text change color
the-doctor	the doctor
the-ring-tempts-you	the ring tempts you
theft	theft
theft-artifact	theft-artifact
theft-artifact-creature	theft-artifact-creature
theft-aura	theft-aura
theft-cast	theft-cast
theft-commander	theft-commander
theft-creature	theft-creature
theft-enchantment	theft-enchantment
theft-equipment	theft-equipment
theft-land	theft-land
theft-mana	theft-mana
theft-mass	theft-mass
theft-noncreature	theft-noncreature
theft-nonland	theft-nonland
theft-ownership	theft-ownership
theft-permanent	theft-permanent
theft-planeswalker	theft-planeswalker
theft-spacecraft	theft-spacecraft
theft-spell	theft-spell
thingfall	thingfall
third-draw-matters	third draw matters
third-spell-matters	third-spell-matters
thoughtseize	thoughtseize
threaten	threaten
threaten-with-set-s-mechanic	threaten with set's mechanic
three-letter-name	three-letter name
threshold	threshold
time-matters	time matters
times-resolved-matters	times resolved matters
timing-restriction	timing restriction
titan-immortality	titan immortality
titan-trigger	titan trigger
tmp-storyline-in-cards	tmp-storyline-in-cards
token-doubler	token doubler
token-errata	token errata
token-increaser	token increaser
token-replacer	token replacer
token-version-of-a-card	token version of a card
token-versions-of-cards	token versions of cards
token-without-a-card	token without a card
tokenfall	tokenfall
tokenlink	tokenlink
toll	toll
tome	tome
tongue-twister	tongue twister
top-deck-manipulation	top deck manipulation
top-matters	top matters
torment	torment
tormenting-voice	tormenting voice
toughness-boost-to-all	toughness boost to all
toughness-matters	toughness matters
toughness-matters-self	toughness matters-self
toughness-matters-total	toughness matters-total
toys-matter	toys matter
trading-post-like	trading post like
trample-counter	trample counter
transcendental-life-damage	transcendental life/damage
transferrable-aura	transferrable aura
transform-improvement	transform-improvement
transform-mirror	transform-mirror
tribute	tribute
tricycle-land	tricycle-land
trigger-doubler	trigger doubler
trigger-from-exile	trigger from exile
trigger-from-graveyard	trigger from graveyard
triggered-ability	triggered ability
triggers-at-cleanup-step	triggers at cleanup step
triland	triland
trumpet-blast	trumpet blast
tuck	tuck
tuck-outlet	tuck-outlet
tuck-self	tuck-self
tunneling	tunneling
turn-control	turn control
turn-face-down	turn-face-down
turn-face-down-self	turn-face-down-self
turn-face-up	turn-face-up
turn-face-up-trigger	turn-face-up-trigger
turn-face-up-trigger-self	turn-face-up-trigger-self
turns-off-defender	turns off defender
turns-off-defender-self	turns off defender-self
turns-taken-matter	turns taken matter
tutor	tutor
tutor-artifact	tutor-artifact
tutor-artifact-colored	tutor-artifact-colored
tutor-artifact-creature	tutor-artifact-creature
tutor-artifact-equipment	tutor-artifact-equipment
tutor-artifact-food	tutor-artifact-food
tutor-artifact-land	tutor-artifact-land
tutor-artifact-legendary	tutor-artifact-legendary
tutor-artifact-noncreature	tutor-artifact-noncreature
tutor-artifact-spacecraft	tutor-artifact-spacecraft
tutor-artifact-vehicle	tutor-artifact-vehicle
tutor-augment	tutor-augment
tutor-aura-creature	tutor-aura-creature
tutor-aura-curse	tutor-aura-curse
tutor-battle	tutor-battle
tutor-black	tutor-black
tutor-blue	tutor-blue
tutor-card	tutor-card
tutor-cast	tutor-cast
tutor-color	tutor-color
tutor-copy	tutor-copy
tutor-creature	tutor-creature
tutor-creature-ally	tutor-creature-ally
tutor-creature-assembly-worker	tutor-creature-assembly-worker
tutor-creature-aurochs	tutor-creature-aurochs
tutor-creature-bird	tutor-creature-bird
tutor-creature-colorless	tutor-creature-colorless
tutor-creature-construct	tutor-creature-construct
tutor-creature-deathtouch	tutor-creature-deathtouch
tutor-creature-demigod	tutor-creature-demigod
tutor-creature-demon	tutor-creature-demon
tutor-creature-dinosaur	tutor-creature-dinosaur
tutor-creature-doctor	tutor-creature-doctor
tutor-creature-dragon	tutor-creature-dragon
tutor-creature-dwarf	tutor-creature-dwarf
tutor-creature-eldrazi	tutor-creature-eldrazi
tutor-creature-elemental	tutor-creature-elemental
tutor-creature-elf	tutor-creature-elf
tutor-creature-embalm	tutor-creature-embalm
tutor-creature-eternalize	tutor-creature-eternalize
tutor-creature-faerie	tutor-creature-faerie
tutor-creature-flying	tutor-creature-flying
tutor-creature-giant	tutor-creature-giant
tutor-creature-goblin	tutor-creature-goblin
tutor-creature-god	tutor-creature-god
tutor-creature-green	tutor-creature-green
tutor-creature-halfling	tutor-creature-halfling
tutor-creature-hexproof	tutor-creature-hexproof
tutor-creature-kithkin	tutor-creature-kithkin
tutor-creature-legendary	tutor-creature-legendary
tutor-creature-mercenary	tutor-creature-mercenary
tutor-creature-merfolk	tutor-creature-merfolk
tutor-creature-minotaur	tutor-creature-minotaur
tutor-creature-mount	tutor-creature-mount
tutor-creature-myr	tutor-creature-myr
tutor-creature-nephilim	tutor-creature-nephilim
tutor-creature-ninja	tutor-creature-ninja
tutor-creature-noble	tutor-creature-noble
tutor-creature-phyrexian	tutor-creature-phyrexian
tutor-creature-pirate	tutor-creature-pirate
tutor-creature-power	tutor-creature-power
tutor-creature-praetor	tutor-creature-praetor
tutor-creature-rat	tutor-creature-rat
tutor-creature-reach	tutor-creature-reach
tutor-creature-rebel	tutor-creature-rebel
tutor-creature-sliver	tutor-creature-sliver
tutor-creature-spirit	tutor-creature-spirit
tutor-creature-squirrel	tutor-creature-squirrel
tutor-creature-toughness	tutor-creature-toughness
tutor-creature-trample	tutor-creature-trample
tutor-creature-treefolk	tutor-creature-treefolk
tutor-creature-vampire	tutor-creature-vampire
tutor-creature-vanilla	tutor-creature-vanilla
tutor-creature-wizard	tutor-creature-wizard
tutor-creature-zombie	tutor-creature-zombie
tutor-enchantment	tutor-enchantment
tutor-enchantment-aura	tutor-enchantment-aura
tutor-enchantment-plan	tutor-enchantment-plan
tutor-enchantment-room	tutor-enchantment-room
tutor-enchantment-saga	tutor-enchantment-saga
tutor-enchantment-shrine	tutor-enchantment-shrine
tutor-flash	tutor-flash
tutor-flashback	tutor-flashback
tutor-from-opponent	tutor-from-opponent
tutor-green	tutor-green
tutor-host	tutor-host
tutor-instant	tutor-instant
tutor-instant-sorcery-arcane	tutor-instant-sorcery-arcane
tutor-instant-sorcery-lesson	tutor-instant-sorcery-lesson
tutor-instant-sorcery-trap	tutor-instant-sorcery-trap
tutor-interaction	tutor-interaction
tutor-land	tutor-land
tutor-land-any	tutor-land-any
tutor-land-basic	tutor-land-basic
tutor-land-basic-forest	tutor-land-basic-forest
tutor-land-basic-island	tutor-land-basic-island
tutor-land-basic-mountain	tutor-land-basic-mountain
tutor-land-basic-plains	tutor-land-basic-plains
tutor-land-basic-swamp	tutor-land-basic-swamp
tutor-land-cave	tutor-land-cave
tutor-land-desert	tutor-land-desert
tutor-land-forest	tutor-land-forest
tutor-land-gate	tutor-land-gate
tutor-land-island	tutor-land-island
tutor-land-mountain	tutor-land-mountain
tutor-land-plains	tutor-land-plains
tutor-land-snow	tutor-land-snow
tutor-land-specific	tutor-land-specific
tutor-land-swamp	tutor-land-swamp
tutor-land-to-battlefield	tutor-land-to-battlefield
tutor-land-town	tutor-land-town
tutor-legendary	tutor-legendary
tutor-monocolored	tutor-monocolored
tutor-multicolored	tutor-multicolored
tutor-mv	tutor-mv
tutor-noncreature	tutor-noncreature
tutor-nonland	tutor-nonland
tutor-permanent	tutor-permanent
tutor-permanent-snow	tutor-permanent-snow
tutor-planeswalker	tutor-planeswalker
tutor-red	tutor-red
tutor-rune	tutor-rune
tutor-self	tutor-self
tutor-sorcery	tutor-sorcery
tutor-to	tutor-to
tutor-to-battlefield	tutor-to-battlefield
tutor-to-exile	tutor-to-exile
tutor-to-graveyard	tutor-to-graveyard
tutor-to-hand	tutor-to-hand
tutor-to-top	tutor-to-top
tutor-white	tutor-white
tutored-by-name	tutored by name
tutors-by-name	tutors by name
twiddle	twiddle
typal	typal
typal-advisor	typal-advisor
typal-aetherborn	typal-aetherborn
typal-alicorn	typal-alicorn
typal-alien	typal-alien
typal-ally	typal-ally
typal-angel	typal-angel
typal-ape	typal-ape
typal-archer	typal-archer
typal-archon	typal-archon
typal-army	typal-army
typal-artificer	typal-artificer
typal-assassin	typal-assassin
typal-assembly-worker	typal-assembly-worker
typal-atog	typal-atog
typal-aurochs	typal-aurochs
typal-balloon	typal-balloon
typal-barbarian	typal-barbarian
typal-bard	typal-bard
typal-bat	typal-bat
typal-bear	typal-bear
typal-beast	typal-beast
typal-beeble	typal-beeble
typal-berserker	typal-berserker
typal-bird	typal-bird
typal-bison	typal-bison
typal-blinkmoth	typal-blinkmoth
typal-boar	typal-boar
typal-brainiac	typal-brainiac
typal-camarid	typal-camarid
typal-camel	typal-camel
typal-caribou	typal-caribou
typal-cat	typal-cat
typal-centaur	typal-centaur
typal-chimera	typal-chimera
typal-choose	typal-choose
typal-citizen	typal-citizen
typal-cleric	typal-cleric
typal-clown	typal-clown
typal-construct	typal-construct
typal-coupling	typal coupling
typal-coupling-distinct	typal coupling-distinct
typal-crab	typal-crab
typal-creature	typal-creature
typal-dalek	typal-dalek
typal-demigod	typal-demigod
typal-demon	typal-demon
typal-detective	typal-detective
typal-devil	typal-devil
typal-dinosaur	typal-dinosaur
typal-doctor	typal-doctor
typal-dog	typal-dog
typal-donkey	typal-donkey
typal-dragon	typal-dragon
typal-drake	typal-drake
typal-druid	typal-druid
typal-dwarf	typal-dwarf
typal-each	typal-each
typal-egg	typal-egg
typal-elder-dragon	typal-elder-dragon
typal-eldrazi	typal-eldrazi
typal-eldrazi-scion	typal-eldrazi-scion
typal-eldrazi-spawn	typal-eldrazi-spawn
typal-elemental	typal-elemental
typal-elephant	typal-elephant
typal-elf	typal-elf
typal-employee	typal-employee
typal-eye	typal-eye
typal-faerie	typal-faerie
typal-fish	typal-fish
typal-flagbearer	typal-flagbearer
typal-fox	typal-fox
typal-fractal	typal-fractal
